ID,Región,Pacto,Comuna,Nombre,¿Nuevo o Reelecto?,BANCADA AchM,Militancia,CUPO,Antigua Militancia (si es IND)
1,Región de Arica y Parinacota,Contigo Chile Mejor,Camarones,Cristián Zavala S.,REELECTO,PARTIDO DEMÓCRATA CRISTIANO,PARTIDO DEMOCRATA CRISTIANO,,
1,Región de Arica y Parinacota,Republicanos,General Lagos,Alex Castillo B.,REELECTO,PARTIDO REPUBLICANO,PARTIDO REPUBLICANO DE CHILE,,
1,Región de Arica y Parinacota,Chile Vamos,Putre,Javier Tito H.,NUEVO,UNIÓN DEMÓCRATA INDEPENDIENTE,INDEPENDIENTES-CHV,DEMOCRATAS,
1,Región de Arica y Parinacota,Fuera de Pacto,Arica,Orlando Vargas P.,NUEVO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,PPD
2,Región de Tarapacá,Fuera de Pacto,Camiña,Evelyn Mamani V.,REELECTO,INDEPENDIENTES FUERA DE PACTO,INDEPENDIENTE-FP,,IND
2,Región de Tarapacá,Contigo Chile Mejor,Alto Hospicio,Patricio Ferreira R.,REELECTO,PARTIDO DEMÓCRATA CRISTIANO,PARTIDO DEMOCRATA CRISTIANO,,
2,Región de Tarapacá,Contigo Chile Mejor,Iquique,Mauricio Soria M,REELECTO,PARTIDO POR LA DEMOCRACIA,INDEPENDIENTES-CChM,PPD,
2,Región de Tarapacá,Chile Vamos,Pica,Iván Infante C.,REELECTO,PARTIDO RENOVACIÓN NACIONAL,INDEPENDIENTES-CHV,RN,
2,Región de Tarapacá,Contigo Chile Mejor,Pozo Almonte,Richard Godoy A.,REELECTO,PARTIDO DEMÓCRATA CRISTIANO,PARTIDO DEMOCRATA CRISTIANO,,
3,Región de Antofagasta,Contigo Chile Mejor,Mejillones,Marcelino Carvajal F.,REELECTO,PARTIDO POR LA DEMOCRACIA,PARTIDO POR LA DEMOCRACIA,,
