nombre_estandar,variantes,comuna,region,direccion_full,Latitude,Longitude
C. P. ANTOFAGASTA,,ANTOFAGASTA,DE ANTOFAGASTA,"C. P. ANTOFAGASTA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.509.279,-7.039.750.219.999.990
C. P. FEMENINO ANTOFAGASTA,,ANTOFAGASTA,DE ANTOFAGASTA,"C. P. FEMENINO ANTOFAGASTA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.509.279,-7.039.750.219.999.990
C.C.P. DE ANTOFAGASTA,,ANTOFAGASTA,DE ANTOFAGASTA,"C.C.P. DE ANTOFAGASTA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.531.538,-703.921.204
C.P.F ANTOFAGASTA,,ANTOFAGASTA,DE ANTOFAGASTA,"C.P.F ANTOFAGASTA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.656.484,-7.040.026.019.999.990
COLEGIO ADVENTISTA DE ANTOFAGASTA,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO ADVENTISTA DE ANTOFAGASTA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.329.585,-703.952.729
COLEGIO ANTOFAGASTA,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO ANTOFAGASTA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.591.745,-703.942.521
COLEGIO CHAÑARES,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO CHAÑARES, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.946.699,-7.041.685.129.999.990
COLEGIO COSTA CORDILLERA,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO COSTA CORDILLERA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.821.396,-704.067.724
COLEGIO EBEN EZER,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO EBEN EZER, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.724.234,-70.383.691
COLEGIO INGLES SAN JOSE,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO INGLES SAN JOSE, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.656.463,-7.040.074
COLEGIO INSTITUTO SANTA MARIA,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO INSTITUTO SANTA MARIA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.529.549,-7.039.533.589.999.990
COLEGIO MISIONERO JOSE LANCASTER,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO MISIONERO JOSE LANCASTER, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.612.516,-70.388.272
COLEGIO SAN AGUSTIN,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO SAN AGUSTIN, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.913.931,-703.961.111
COLEGIO SAN LUIS,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO SAN LUIS, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.513.815,-7.039.532.679.999.990
COLEGIO SAN MARCOS,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO SAN MARCOS, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.309.817,-703.945.024
COLEGIO SAN PATRICIO,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO SAN PATRICIO, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.662.339,-703.930.758
COLEGIO SANTA TERESITA,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO SANTA TERESITA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.507.249,-703.917.297
COLEGIO TEC. IND. DON BOSCO ANTOFAGASTA,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO TEC. IND. DON BOSCO ANTOFAGASTA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.509.279,-7.039.750.219.999.990
COLEGIO TECNICO INDUSTRIAL DON BOSCO,,ANTOFAGASTA,DE ANTOFAGASTA,"COLEGIO TECNICO INDUSTRIAL DON BOSCO, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.763.804,-703.824.522
ESCUELA ALCALDE MAXIMILIANO POBLETE CORTES,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA ALCALDE MAXIMILIANO POBLETE CORTES, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.607.031,-703.966.768
ESCUELA ARTURO PRAT,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA ARTURO PRAT, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-23.606.935,-7.038.233.199.999.990
ESCUELA BASICA CLAUDIO MATTE PEREZ,ESCUELA BASICA CLAUDIO MATTE PEREZ | ESCUELA CLAUDIO MATTE PEREZ,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA BASICA CLAUDIO MATTE PEREZ, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.372.184,-7.038.758.829.999.990
ESCUELA BASICA ESPAÑA,ESCUELA BASICA ESPAÑA | ESCUELA ESPAÑA,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA BASICA ESPAÑA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.196.059,-703.768.745
ESCUELA BASICA GABRIELA MISTRAL,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA BASICA GABRIELA MISTRAL, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-23.595.134,-7.037.944.600.000.000
ESCUELA BASICA JUAN LOPEZ,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA BASICA JUAN LOPEZ, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-2.366.121,-7.039.139.999.999.990
ESCUELA BASICA JUAN PABLO II,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA BASICA JUAN PABLO II, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.837.595,-7.037.913.189.999.990
ESCUELA BASICA PROF. ELMO FUNEZ CARRIZO,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA BASICA PROF. ELMO FUNEZ CARRIZO, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.817.221,-703.777.978
ESCUELA BÁSICA HÉROES DE LA CONCEPCIÓN,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA BÁSICA HÉROES DE LA CONCEPCIÓN, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.648.033,-703.841.682
ESCUELA BÁSICA LA BANDERA,ESCUELA BÁSICA LA BANDERA | ESCUELA LA BANDERA,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA BÁSICA LA BANDERA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.772.414,-7.037.965
ESCUELA BÁSICA PADRE GUSTAVO LE PAIGE,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA BÁSICA PADRE GUSTAVO LE PAIGE, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.183.541,-703.826.857
ESCUELA DARIO SALAS DIAZ,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA DARIO SALAS DIAZ, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.615.305,-703.967.487
ESCUELA DE ARTES ESCENICAS PROFESOR ELMO FUNEZ,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA DE ARTES ESCENICAS PROFESOR ELMO FUNEZ, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.817.221,-703.777.978
ESCUELA ECOLOGICA HUMBERTO GONZALEZ ECHEGOYEN,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA ECOLOGICA HUMBERTO GONZALEZ ECHEGOYEN, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.893.892,-703.830.648
ESCUELA ECOLOGICA PADRE ALBERTO HURTADO,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA ECOLOGICA PADRE ALBERTO HURTADO, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.884.093,-703.830.089
ESCUELA GENERAL MANUEL BAQUEDANO,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA GENERAL MANUEL BAQUEDANO, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.232.725,-7.038.561.419.999.990
ESCUELA GUSTAVO LE PAIGE WALQUE,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA GUSTAVO LE PAIGE WALQUE, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.183.541,-703.826.857
ESCUELA HEROES DE LA CONCEPCION,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA HEROES DE LA CONCEPCION, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-23.625.743,-70.387.835
ESCUELA JAPON,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA JAPON, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.261.276,-703.798.285
ESCUELA JOSE PAPIC RADNIC,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA JOSE PAPIC RADNIC, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.647.658,-7.039.402.129.999.990
ESCUELA LAS AMERICAS PROF. JUSTO VALLADARES,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA LAS AMERICAS PROF. JUSTO VALLADARES, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.056.404,-703.891.259
ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA LAS AMERICAS PROFESOR JUSTO VALLADARES ORELLANA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.056.404,-703.891.259
ESCUELA LAS ROCAS,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA LAS ROCAS, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.892.476,-703.937.159
ESCUELA PADRE PATRICIO CARIOLA,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA PADRE PATRICIO CARIOLA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-235.692.414,-703.805.199
ESCUELA PRESBITERIANA,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA PRESBITERIANA, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.547.352,-703.953.585
ESCUELA PROFESORA LJUBICA DOMIC WUTH,,ANTOFAGASTA,DE ANTOFAGASTA,"ESCUELA PROFESORA LJUBICA DOMIC WUTH, ANTOFAGASTA, DE ANTOFAGASTA, CHILE",-236.522.058,-7.039.939.439.999.990
