comuna,manzanas,locales
ANTOFAGASTA,4476,66
CALAMA,2537,25
MARIA ELENA,185,1
MEJILLONES,286,2
SAN PEDRO DE ATACAMA,250,2
SIERRA GORDA,50,2
TALTAL,220,2
TOCOPILLA,477,5
ARICA,3340,52
PUTRE,37,1
ALTO DEL CARMEN,50,2
CALDERA,876,4
CHANARAL,473,4
COPIAPO,2487,27
DIEGO DE ALMAGRO,490,3
FREIRINA,196,1
HUASCO,279,1
TIERRA AMARILLA,248,4
VALLENAR,958,9
AYSEN,492,6
CHILE CHICO,129,3
CISNES,139,4
COCHRANE,105,1
COYHAIQUE,979,18
GUAITECAS,33,1
O'HIGGINS,28,1
RIO IBANEZ,87,4
TORTEL,35,1
ANDACOLLO,255,3
CANELA,240,2
COMBARBALA,241,2
COQUIMBO,4347,35
ILLAPEL,476,3
LA HIGUERA,195,1
LA SERENA,3593,24
LOS VILOS,668,5
MONTE PATRIA,475,5
OVALLE,1777,17
PAIHUANO,42,1
PUNITAQUI,165,1
RIO HURTADO,55,1
SALAMANCA,314,4
VICUNA,429,3
ANGOL,737,11
CARAHUE,220,6
CHOLCHOL,97,3
COLLIPULLI,321,5
CUNCO,224,7
CURACAUTIN,335,5
CURARREHUE,53,3
ERCILLA,121,4
FREIRE,185,6
GALVARINO,111,3
GORBEA,166,6
LAUTARO,627,10
LONCOCHE,361,6
LONQUIMAY,101,3
LOS SAUCES,90,2
LUMACO,94,3
MELIPEUCO,55,2
NUEVA IMPERIAL,292,9
PADRE LAS CASAS,744,13
PERQUENCO,82,2
PITRUFQUEN,352,7
PUCON,378,9
PUREN,147,4
RENAICO,161,3
SAAVEDRA,96,2
TEMUCO,4520,63
TEODORO SCHMIDT,159,4
TOLTEN,128,4
TRAIGUEN,309,6
VICTORIA,555,10
VILCUN,307,9
VILLARRICA,758,17
ANCUD,416,10
CALBUCO,181,4
CASTRO,489,7
CHAITEN,191,2
CHONCHI,86,3
COCHAMO,19,1
CURACO DE VELEZ,37,1
DALCAHUE,87,3
FRESIA,129,4
FRUTILLAR,274,5
FUTALEUFU,44,1
HUALAIHUE,95,2
LLANQUIHUE,277,3
LOS MUERMOS,145,3
MAULLIN,193,6
OSORNO,2477,25
PALENA,31,1
PUERTO MONTT,3975,38
PUERTO OCTAY,101,3
PUERTO VARAS,536,12
PUQUELDON,16,1
PURRANQUE,248,6
PUYEHUE,114,2
QUEILEN,40,1
QUELLON,222,5
QUEMCHI,36,1
QUINCHAO,63,1
RIO NEGRO,136,3
SAN JUAN DE LA COSTA,47,2
SAN PABLO,102,3
CORRAL,60,2
FUTRONO,115,4
LA UNION,434,6
LAGO RANCO,71,2
LANCO,208,5
LOS LAGOS,236,6
MAFIL,59,3
MARIQUINA,260,7
PAILLACO,236,5
PANGUIPULLI,398,11
RIO BUENO,434,6
VALDIVIA,2215,34
NATALES,512,4
PORVENIR,165,2
PUNTA ARENAS,2499,33
ALTO HOSPICIO,1595,16
CAMINA,24,1
HUARA,40,1
IQUIQUE,1922,34
PICA,128,2
POZO ALMONTE,446,4
ALGARROBO,547,3
CABILDO,217,4
CALERA,610,8
CALLE LARGA,170,4
CARTAGENA,707,5
CASABLANCA,234,6
CATEMU,210,3
CONCON,738,10
EL QUISCO,708,3
EL TABO,543,2
